<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	1.10437	1.10451	1.09374	1.09407	205171	0	0
2024.01.03	1.09425	1.09655	1.08925	1.09212	234801	0	0
2024.01.04	1.09205	1.09723	1.09056	1.09435	195260	0	0
2024.01.05	1.09443	1.09988	1.08769	1.09408	263575	0	0
2024.01.08	1.09331	1.09789	1.09225	1.09496	183411	0	0
2024.01.09	1.09525	1.09664	1.09101	1.09305	202308	0	0
2024.01.10	1.09305	1.09730	1.09228	1.09718	174563	0	0
2024.01.11	1.09716	1.10004	1.09299	1.09716	269658	0	0
2024.01.12	1.09620	1.09871	1.09358	1.09497	216019	0	0
2024.01.15	1.09472	1.09675	1.09335	1.09482	128464	0	0
2024.01.16	1.09468	1.09510	1.08619	1.08748	251472	0	0
2024.01.17	1.08743	1.08846	1.08444	1.08823	222523	0	0
2024.01.18	1.08814	1.09069	1.08465	1.08757	215990	0	0
2024.01.19	1.08760	1.08974	1.08591	1.08968	172794	0	0
2024.01.22	1.08898	1.09096	1.08797	1.08820	165908	0	0
2024.01.23	1.08816	1.09162	1.08215	1.08542	207822	0	0
2024.01.24	1.08547	1.09325	1.08410	1.08840	212695	0	0
2024.01.25	1.08840	1.09021	1.08213	1.08455	236632	0	0
2024.01.26	1.08455	1.08857	1.08128	1.08533	184258	0	0
2024.01.29	1.08440	1.08502	1.07957	1.08321	168740	0	0
2024.01.30	1.08314	1.08575	1.08116	1.08451	193552	0	0
2024.01.31	1.08451	1.08876	1.07945	1.08174	321617	0	0
2024.02.01	1.08173	1.08749	1.07799	1.08709	261954	0	0
2024.02.02	1.08710	1.08976	1.07803	1.07858	213182	0	0
2024.02.05	1.07818	1.07863	1.07231	1.07421	199757	0	0
2024.02.06	1.07408	1.07625	1.07225	1.07539	141204	0	0
2024.02.07	1.07536	1.07841	1.07468	1.07711	119518	0	0
2024.02.08	1.07711	1.07889	1.07414	1.07769	114675	0	0
2024.02.09	1.07771	1.07953	1.07622	1.07844	109641	0	0
2024.02.12	1.07785	1.08058	1.07557	1.07695	123716	0	0
2024.02.13	1.07712	1.07977	1.07002	1.07084	146193	0	0
2024.02.14	1.07083	1.07347	1.06945	1.07257	124709	0	0
2024.02.15	1.07241	1.07850	1.07229	1.07714	126671	0	0
2024.02.16	1.07705	1.07874	1.07319	1.07769	124752	0	0
2024.02.19	1.07722	1.07894	1.07618	1.07782	84124	0	0
2024.02.20	1.07785	1.08389	1.07613	1.08068	131771	0	0
2024.02.21	1.08064	1.08245	1.07897	1.08180	126403	0	0
2024.02.22	1.08181	1.08884	1.08027	1.08220	143407	0	0
2024.02.23	1.08222	1.08396	1.08116	1.08184	114073	0	0
2024.02.26	1.08309	1.08597	1.08125	1.08484	119123	0	0
2024.02.27	1.08502	1.08661	1.08328	1.08431	117059	0	0
2024.02.28	1.08432	1.08468	1.07963	1.08369	129079	0	0
2024.02.29	1.08372	1.08560	1.07957	1.08038	151207	0	0
2024.03.01	1.08045	1.08433	1.07963	1.08387	127274	0	0
2024.03.04	1.08400	1.08670	1.08290	1.08530	122146	0	0
2024.03.05	1.08548	1.08765	1.08401	1.08545	126194	0	0
2024.03.06	1.08560	1.09154	1.08417	1.08973	142457	0	0
2024.03.07	1.08975	1.09493	1.08676	1.09465	137628	0	0
2024.03.08	1.09472	1.09813	1.09183	1.09370	142376	0	0
2024.03.11	1.09388	1.09483	1.09144	1.09249	109373	0	0
2024.03.12	1.09249	1.09436	1.09022	1.09261	65017	0	0
2024.03.13	1.09261	1.09637	1.09201	1.09473	37052	0	0
2024.03.14	1.09475	1.09547	1.08792	1.08845	41942	0	0
2024.03.15	1.08845	1.08996	1.08729	1.08872	34272	0	0
2024.03.18	1.08881	1.09060	1.08661	1.08728	30867	0	0
2024.03.19	1.08708	1.08765	1.08347	1.08645	39537	0	0
2024.03.20	1.08642	1.09227	1.08364	1.09205	40642	0	0
2024.03.21	1.09196	1.09426	1.08528	1.08596	45886	0	0
2024.03.22	1.08596	1.08679	1.08017	1.08062	36766	0	0
2024.03.25	1.08062	1.08423	1.08022	1.08355	29143	0	0
2024.03.26	1.08355	1.08643	1.08243	1.08312	35376	0	0
2024.03.27	1.08312	1.08391	1.08107	1.08262	36081	0	0
2024.03.28	1.08261	1.08265	1.07750	1.07881	40574	0	0
2024.03.29	1.07872	1.08052	1.07678	1.07917	21957	0	0
2024.04.01	1.07870	1.07987	1.07309	1.07422	30356	0	0
2024.04.02	1.07423	1.07790	1.07246	1.07687	37828	0	0
2024.04.03	1.07685	1.08369	1.07640	1.08355	39180	0	0
2024.04.04	1.08352	1.08764	1.08292	1.08362	33917	0	0
2024.04.05	1.08361	1.08479	1.07912	1.08363	43220	0	0
2024.04.08	1.08370	1.08622	1.08209	1.08585	35521	0	0
2024.04.09	1.08582	1.08850	1.08471	1.08563	31556	0	0
2024.04.10	1.08558	1.08664	1.07287	1.07416	48832	0	0
2024.04.11	1.07415	1.07563	1.06992	1.07252	50094	0	0
2024.04.12	1.07251	1.07289	1.06225	1.06406	46114	0	0
2024.04.15	1.06360	1.06651	1.06203	1.06237	52069	0	0
2024.04.16	1.06234	1.06536	1.06011	1.06181	56286	0	0
2024.04.17	1.06180	1.06796	1.06061	1.06720	51050	0	0
2024.04.18	1.06702	1.06900	1.06408	1.06425	48750	0	0
2024.04.19	1.06424	1.06775	1.06104	1.06557	66176	0	0
2024.04.22	1.06526	1.06706	1.06240	1.06539	32700	0	0
2024.04.23	1.06521	1.07112	1.06385	1.07006	33404	0	0
2024.04.24	1.07006	1.07141	1.06779	1.06980	29785	0	0
2024.04.25	1.06982	1.07402	1.06784	1.07290	34908	0	0
2024.04.26	1.07283	1.07527	1.06740	1.06922	33357	0	0
2024.04.29	1.06940	1.07337	1.06865	1.07200	38304	0	0
2024.04.30	1.07197	1.07353	1.06630	1.06655	36356	0	0
2024.05.01	1.06650	1.07327	1.06494	1.07089	34352	0	0
2024.05.02	1.07096	1.07302	1.06742	1.07245	38832	0	0
2024.05.03	1.07220	1.08120	1.07192	1.07611	36956	0	0
2024.05.06	1.07630	1.07908	1.07552	1.07676	26333	0	0
2024.05.07	1.07678	1.07874	1.07479	1.07538	30765	0	0
2024.05.08	1.07534	1.07574	1.07350	1.07476	26124	0	0
2024.05.09	1.07476	1.07843	1.07239	1.07816	29304	0	0
2024.05.10	1.07812	1.07901	1.07603	1.07694	29446	0	0
2024.05.13	1.07686	1.08068	1.07648	1.07893	25002	0	0
2024.05.14	1.07882	1.08256	1.07664	1.08182	27034	0	0
2024.05.15	1.08172	1.08857	1.08131	1.08837	32000	0	0
2024.05.16	1.08837	1.08949	1.08544	1.08663	31296	0	0
2024.05.17	1.08662	1.08783	1.08358	1.08685	26821	0	0
2024.05.20	1.08670	1.08845	1.08535	1.08561	26875	0	0
2024.05.21	1.08557	1.08748	1.08429	1.08532	30456	0	0
2024.05.22	1.08518	1.08634	1.08174	1.08221	31390	0	0
2024.05.23	1.08214	1.08610	1.08047	1.08144	35204	0	0
2024.05.24	1.08141	1.08578	1.08054	1.08457	30316	0	0
2024.05.27	1.08480	1.08674	1.08409	1.08581	18390	0	0
2024.05.28	1.08564	1.08890	1.08506	1.08559	33911	0	0
2024.05.29	1.08555	1.08588	1.07994	1.08003	33542	0	0
2024.05.30	1.08003	1.08451	1.07885	1.08313	35848	0	0
2024.05.31	1.08309	1.08822	1.08112	1.08474	38906	0	0
2024.06.03	1.08500	1.09039	1.08278	1.09036	37488	0	0
2024.06.04	1.09029	1.09160	1.08593	1.08785	40693	0	0
2024.06.05	1.08781	1.08917	1.08544	1.08678	33307	0	0
2024.06.06	1.08677	1.09020	1.08622	1.08870	33441	0	0
2024.06.07	1.08857	1.09019	1.07992	1.07994	39246	0	0
2024.06.10	1.07740	1.07816	1.07327	1.07644	34550	0	0
2024.06.11	1.07643	1.07735	1.07196	1.07396	34599	0	0
2024.06.12	1.07365	1.08523	1.07330	1.08081	41931	0	0
2024.06.13	1.08081	1.08165	1.07330	1.07363	38194	0	0
2024.06.14	1.07358	1.07449	1.06676	1.07018	42292	0	0
2024.06.17	1.07035	1.07378	1.06863	1.07326	36932	0	0
2024.06.18	1.07336	1.07614	1.07099	1.07393	37702	0	0
2024.06.19	1.07393	1.07533	1.07248	1.07416	24414	0	0
2024.06.20	1.07419	1.07488	1.07009	1.07011	35294	0	0
2024.06.21	1.07012	1.07205	1.06710	1.06915	35880	0	0
2024.06.24	1.06850	1.07464	1.06835	1.07313	32499	0	0
2024.06.25	1.07314	1.07442	1.06908	1.07132	30817	0	0
2024.06.26	1.07116	1.07179	1.06659	1.06797	33720	0	0
2024.06.27	1.06787	1.07264	1.06740	1.07032	34481	0	0
2024.06.28	1.06999	1.07248	1.06853	1.07116	38432	0	0
2024.07.01	1.07450	1.07762	1.07197	1.07397	38290	0	0
2024.07.02	1.07384	1.07417	1.07120	1.07202	13018	0	0
2024.07.03	1.07444	1.08168	1.07360	1.07810	30939	0	0
2024.07.04	1.07804	1.08138	1.07778	1.08100	22237	0	0
2024.07.05	1.08089	1.08425	1.08026	1.08397	32949	0	0
2024.07.08	1.08020	1.08449	1.08002	1.08232	33432	0	0
2024.07.09	1.08223	1.08333	1.08055	1.08131	30378	0	0
2024.07.10	1.08115	1.08299	1.08092	1.08296	28761	0	0
2024.07.11	1.08284	1.08995	1.08249	1.08677	37399	0	0
2024.07.12	1.08676	1.09113	1.08598	1.09055	37757	0	0
2024.07.15	1.08860	1.09222	1.08818	1.08937	37366	0	0
2024.07.16	1.08884	1.09055	1.08715	1.08987	34217	0	0
2024.07.17	1.08968	1.09480	1.08950	1.09388	39459	0	0
2024.07.18	1.09380	1.09410	1.08936	1.08959	38237	0	0
2024.07.19	1.08955	1.09017	1.08756	1.08818	38928	0	0
2024.07.22	1.08848	1.09026	1.08731	1.08906	44710	0	0
2024.07.23	1.08903	1.08967	1.08437	1.08536	42654	0	0
