<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.83888	0.83960	0.83820	0.83955	216	0	113
2024.01.02	01:00:00	0.84022	0.84234	0.84019	0.84195	1893	0	9
2024.01.02	02:00:00	0.84194	0.84260	0.84171	0.84251	2172	0	7
2024.01.02	03:00:00	0.84252	0.84261	0.84189	0.84258	1581	0	0
2024.01.02	04:00:00	0.84257	0.84474	0.84250	0.84470	1793	0	7
2024.01.02	05:00:00	0.84468	0.84474	0.84422	0.84427	1285	0	1
2024.01.02	06:00:00	0.84428	0.84554	0.84425	0.84525	1215	0	3
2024.01.02	07:00:00	0.84525	0.84527	0.84385	0.84390	1646	0	1
2024.01.02	08:00:00	0.84389	0.84482	0.84328	0.84475	1535	0	2
2024.01.02	09:00:00	0.84476	0.84615	0.84420	0.84612	4184	0	4
2024.01.02	10:00:00	0.84611	0.84611	0.84389	0.84527	4986	0	4
2024.01.02	11:00:00	0.84528	0.84714	0.84476	0.84623	3686	0	3
2024.01.02	12:00:00	0.84624	0.84872	0.84610	0.84729	4202	0	4
2024.01.02	13:00:00	0.84731	0.85034	0.84721	0.85012	4932	0	4
2024.01.02	14:00:00	0.85010	0.85013	0.84863	0.84943	3820	0	1
2024.01.02	15:00:00	0.84943	0.84992	0.84762	0.84942	4992	0	4
2024.01.02	16:00:00	0.84943	0.85008	0.84664	0.84671	6387	0	4
2024.01.02	17:00:00	0.84672	0.84927	0.84639	0.84871	6685	0	4
2024.01.02	18:00:00	0.84869	0.84903	0.84742	0.84839	3559	0	4
2024.01.02	19:00:00	0.84839	0.85034	0.84829	0.85015	2605	0	0
2024.01.02	20:00:00	0.85016	0.85069	0.84957	0.85030	2004	0	4
2024.01.02	21:00:00	0.85030	0.85044	0.84897	0.84951	2918	0	4
2024.01.02	22:00:00	0.84949	0.85031	0.84902	0.85025	2492	0	4
2024.01.02	23:00:00	0.85018	0.85050	0.84990	0.85011	1294	0	0
2024.01.03	00:00:00	0.84885	0.84999	0.84740	0.84989	1898	0	59
2024.01.03	01:00:00	0.85004	0.85046	0.84983	0.85008	1274	0	8
2024.01.03	02:00:00	0.85009	0.85012	0.84904	0.84908	956	0	3
2024.01.03	03:00:00	0.84909	0.85019	0.84907	0.84950	1832	0	7
2024.01.03	04:00:00	0.84952	0.84989	0.84939	0.84980	1070	0	0
2024.01.03	05:00:00	0.84981	0.85023	0.84890	0.84913	1427	0	6
2024.01.03	06:00:00	0.84916	0.84962	0.84902	0.84923	923	0	1
2024.01.03	07:00:00	0.84922	0.84994	0.84889	0.84991	1355	0	2
2024.01.03	08:00:00	0.84992	0.85028	0.84958	0.85028	1702	0	0
2024.01.03	09:00:00	0.85031	0.85184	0.84968	0.84985	4286	0	4
2024.01.03	10:00:00	0.84986	0.85128	0.84919	0.85069	4387	0	4
2024.01.03	11:00:00	0.85070	0.85220	0.84966	0.85142	3961	0	4
2024.01.03	12:00:00	0.85141	0.85296	0.85129	0.85293	3023	0	2
2024.01.03	13:00:00	0.85291	0.85544	0.85275	0.85471	4771	0	4
2024.01.03	14:00:00	0.85472	0.85486	0.85282	0.85370	4108	0	4
2024.01.03	15:00:00	0.85371	0.85396	0.85227	0.85280	5569	0	4
2024.01.03	16:00:00	0.85279	0.85472	0.85225	0.85368	6268	0	4
2024.01.03	17:00:00	0.85328	0.85392	0.85066	0.85248	10626	0	4
2024.01.03	18:00:00	0.85245	0.85306	0.85152	0.85236	5547	0	4
2024.01.03	19:00:00	0.85236	0.85278	0.85092	0.85169	4004	0	4
2024.01.03	20:00:00	0.85167	0.85176	0.85073	0.85167	3221	0	4
2024.01.03	21:00:00	0.85166	0.85312	0.85015	0.85062	7118	0	4
2024.01.03	22:00:00	0.85061	0.85098	0.84977	0.84988	3625	0	4
2024.01.03	23:00:00	0.84981	0.84999	0.84895	0.84899	1281	0	0
2024.01.04	00:00:00	0.84810	0.84928	0.84810	0.84896	1543	0	19
2024.01.04	01:00:00	0.84900	0.84926	0.84872	0.84919	1407	0	9
2024.01.04	02:00:00	0.84917	0.84989	0.84914	0.84984	1913	0	9
2024.01.04	03:00:00	0.84985	0.85057	0.84957	0.85038	1798	0	6
2024.01.04	04:00:00	0.85039	0.85041	0.84930	0.84937	1778	0	7
2024.01.04	05:00:00	0.84937	0.84962	0.84822	0.84864	1877	0	7
2024.01.04	06:00:00	0.84863	0.84926	0.84825	0.84913	1593	0	0
2024.01.04	07:00:00	0.84915	0.85010	0.84904	0.84977	1705	0	2
2024.01.04	08:00:00	0.84976	0.84977	0.84829	0.84829	3427	0	3
2024.01.04	09:00:00	0.84831	0.84914	0.84773	0.84834	4294	0	4
2024.01.04	10:00:00	0.84832	0.85121	0.84777	0.84995	5451	0	4
2024.01.04	11:00:00	0.84994	0.85037	0.84873	0.84946	4887	0	4
2024.01.04	12:00:00	0.84945	0.85053	0.84871	0.85031	3991	0	4
2024.01.04	13:00:00	0.85031	0.85076	0.85008	0.85062	2688	0	0
2024.01.04	14:00:00	0.85063	0.85079	0.84985	0.85008	2953	0	0
2024.01.04	15:00:00	0.85009	0.85286	0.85009	0.85135	5994	0	4
2024.01.04	16:00:00	0.85134	0.85237	0.85080	0.85134	5544	0	4
2024.01.04	17:00:00	0.85133	0.85136	0.84862	0.84967	5650	0	4
2024.01.04	18:00:00	0.84965	0.85049	0.84925	0.85040	3593	0	4
2024.01.04	19:00:00	0.85039	0.85172	0.85026	0.85142	2517	0	4
2024.01.04	20:00:00	0.85142	0.85204	0.85110	0.85153	2088	0	4
2024.01.04	21:00:00	0.85154	0.85178	0.85087	0.85099	1585	0	4
2024.01.04	22:00:00	0.85098	0.85152	0.85003	0.85008	2308	0	4
2024.01.04	23:00:00	0.85000	0.85018	0.84965	0.85012	2128	0	0
2024.01.05	00:00:00	0.84959	0.85038	0.84836	0.84977	4759	0	19
2024.01.05	01:00:00	0.84982	0.85047	0.84979	0.85022	721	0	0
2024.01.05	02:00:00	0.85023	0.85032	0.84950	0.84962	1400	0	8
2024.01.05	03:00:00	0.84963	0.84964	0.84869	0.84920	1790	0	7
2024.01.05	04:00:00	0.84920	0.85005	0.84899	0.85002	1210	0	8
2024.01.05	05:00:00	0.85001	0.85061	0.84991	0.85051	895	0	5
2024.01.05	06:00:00	0.85051	0.85073	0.85045	0.85071	1050	0	0
2024.01.05	07:00:00	0.85072	0.85083	0.85044	0.85046	1231	0	3
2024.01.05	08:00:00	0.85047	0.85184	0.85037	0.85147	1544	0	4
2024.01.05	09:00:00	0.85150	0.85230	0.85045	0.85165	2894	0	4
2024.01.05	10:00:00	0.85166	0.85215	0.85117	0.85212	3449	0	4
2024.01.05	11:00:00	0.85212	0.85342	0.85127	0.85296	3990	0	4
2024.01.05	12:00:00	0.85297	0.85385	0.85268	0.85279	2577	0	4
2024.01.05	13:00:00	0.85278	0.85335	0.85238	0.85323	2369	0	4
2024.01.05	14:00:00	0.85323	0.85348	0.85278	0.85299	2548	0	3
2024.01.05	15:00:00	0.85301	0.85767	0.85216	0.85279	9881	0	4
2024.01.05	16:00:00	0.85276	0.85281	0.84929	0.84993	8639	0	4
2024.01.05	17:00:00	0.84993	0.84993	0.84552	0.84720	11122	0	4
2024.01.05	18:00:00	0.84721	0.84894	0.84666	0.84863	4876	0	4
2024.01.05	19:00:00	0.84862	0.84996	0.84861	0.84992	4327	0	4
2024.01.05	20:00:00	0.84994	0.85054	0.84892	0.84900	3269	0	4
2024.01.05	21:00:00	0.84899	0.84972	0.84850	0.84955	2556	0	3
2024.01.05	22:00:00	0.84956	0.85040	0.84955	0.85027	1932	0	4
2024.01.05	23:00:00	0.85021	0.85062	0.85005	0.85010	1584	0	3
2024.01.08	00:00:00	0.84725	0.84979	0.84725	0.84979	4726	0	40
2024.01.08	01:00:00	0.84979	0.85133	0.84945	0.85075	1438	0	3
2024.01.08	02:00:00	0.85076	0.85089	0.85037	0.85043	861	0	4
2024.01.08	03:00:00	0.85045	0.85067	0.84977	0.85023	1555	0	7
2024.01.08	04:00:00	0.85024	0.85147	0.85024	0.85133	1180	0	0
2024.01.08	05:00:00	0.85134	0.85192	0.85118	0.85184	1117	0	9
2024.01.08	06:00:00	0.85185	0.85196	0.85156	0.85183	1008	0	9
2024.01.08	07:00:00	0.85184	0.85209	0.85162	0.85164	1216	0	0
2024.01.08	08:00:00	0.85165	0.85173	0.85094	0.85095	1265	0	3
2024.01.08	09:00:00	0.85094	0.85116	0.84871	0.85012	4750	0	4
2024.01.08	10:00:00	0.85011	0.85125	0.84991	0.85055	4837	0	4
2024.01.08	11:00:00	0.85055	0.85207	0.85043	0.85080	3230	0	4
2024.01.08	12:00:00	0.85079	0.85132	0.85047	0.85050	2730	0	4
2024.01.08	13:00:00	0.85049	0.85170	0.84983	0.85140	2998	0	4
2024.01.08	14:00:00	0.85138	0.85174	0.85015	0.85022	2870	0	4
2024.01.08	15:00:00	0.85021	0.85050	0.84914	0.84984	3831	0	4
2024.01.08	16:00:00	0.84984	0.85001	0.84781	0.84789	4782	0	4
2024.01.08	17:00:00	0.84790	0.84823	0.84616	0.84637	4456	0	4
2024.01.08	18:00:00	0.84637	0.84690	0.84602	0.84669	3601	0	4
2024.01.08	19:00:00	0.84668	0.84707	0.84623	0.84705	2206	0	4
2024.01.08	20:00:00	0.84706	0.84806	0.84684	0.84777	1722	0	4
2024.01.08	21:00:00	0.84776	0.84790	0.84693	0.84703	1459	0	3
2024.01.08	22:00:00	0.84704	0.84795	0.84704	0.84763	1880	0	4
2024.01.08	23:00:00	0.84755	0.84831	0.84747	0.84787	1472	0	2
2024.01.09	00:00:00	0.84617	0.84827	0.84617	0.84757	3180	0	19
2024.01.09	01:00:00	0.84770	0.84811	0.84737	0.84802	827	0	4
2024.01.09	02:00:00	0.84801	0.84809	0.84732	0.84755	1246	0	3
2024.01.09	03:00:00	0.84757	0.84767	0.84650	0.84654	1664	0	4
2024.01.09	04:00:00	0.84653	0.84699	0.84639	0.84684	1548	0	8
2024.01.09	05:00:00	0.84683	0.84726	0.84652	0.84690	1561	0	6
2024.01.09	06:00:00	0.84691	0.84740	0.84678	0.84730	1213	0	7
2024.01.09	07:00:00	0.84729	0.84787	0.84721	0.84772	956	0	1
2024.01.09	08:00:00	0.84772	0.84851	0.84753	0.84829	1272	0	2
2024.01.09	09:00:00	0.84827	0.84869	0.84720	0.84756	2558	0	4
2024.01.09	10:00:00	0.84757	0.85032	0.84754	0.84938	4961	0	4
2024.01.09	11:00:00	0.84937	0.84997	0.84897	0.84968	3691	0	4
2024.01.09	12:00:00	0.84967	0.85142	0.84920	0.85094	3070	0	1
2024.01.09	13:00:00	0.85094	0.85141	0.85061	0.85139	2373	0	4
2024.01.09	14:00:00	0.85140	0.85178	0.85060	0.85111	2810	0	4
2024.01.09	15:00:00	0.85111	0.85204	0.84983	0.84993	4850	0	4
2024.01.09	16:00:00	0.84992	0.85132	0.84960	0.85101	5521	0	4
2024.01.09	17:00:00	0.85101	0.85241	0.85075	0.85223	5004	0	4
2024.01.09	18:00:00	0.85224	0.85319	0.85132	0.85149	3447	0	0
2024.01.09	19:00:00	0.85148	0.85178	0.85115	0.85159	2520	0	4
2024.01.09	20:00:00	0.85160	0.85270	0.85104	0.85253	2492	0	4
2024.01.09	21:00:00	0.85252	0.85286	0.85213	0.85235	1690	0	4
2024.01.09	22:00:00	0.85233	0.85236	0.85169	0.85233	1788	0	4
2024.01.09	23:00:00	0.85225	0.85267	0.85210	0.85210	1194	0	0
2024.01.10	00:00:00	0.85196	0.85267	0.85147	0.85230	1838	0	14
2024.01.10	01:00:00	0.85235	0.85253	0.85216	0.85239	783	0	1
2024.01.10	02:00:00	0.85240	0.85261	0.85204	0.85240	1135	0	4
2024.01.10	03:00:00	0.85239	0.85266	0.85203	0.85216	1700	0	9
2024.01.10	04:00:00	0.85216	0.85243	0.85187	0.85231	1425	0	3
2024.01.10	05:00:00	0.85232	0.85253	0.85187	0.85242	1141	0	8
2024.01.10	06:00:00	0.85243	0.85243	0.85210	0.85214	1350	0	5
2024.01.10	07:00:00	0.85213	0.85239	0.85209	0.85224	1201	0	3
2024.01.10	08:00:00	0.85225	0.85353	0.85223	0.85337	1733	0	3
2024.01.10	09:00:00	0.85336	0.85336	0.85144	0.85225	3007	0	3
2024.01.10	10:00:00	0.85224	0.85310	0.85194	0.85243	3825	0	4
2024.01.10	11:00:00	0.85243	0.85271	0.85147	0.85213	3295	0	3
2024.01.10	12:00:00	0.85212	0.85229	0.85127	0.85215	2441	0	4
2024.01.10	13:00:00	0.85214	0.85314	0.85171	0.85272	2167	0	0
2024.01.10	14:00:00	0.85272	0.85320	0.85203	0.85289	2186	0	2
2024.01.10	15:00:00	0.85290	0.85324	0.85193	0.85257	2997	0	4
2024.01.10	16:00:00	0.85258	0.85309	0.85214	0.85233	3623	0	4
2024.01.10	17:00:00	0.85234	0.85279	0.85072	0.85131	4915	0	4
2024.01.10	18:00:00	0.85131	0.85207	0.85122	0.85149	3152	0	4
2024.01.10	19:00:00	0.85148	0.85153	0.85096	0.85100	2098	0	4
2024.01.10	20:00:00	0.85102	0.85206	0.85099	0.85138	4670	0	4
2024.01.10	21:00:00	0.85138	0.85180	0.85121	0.85146	1625	0	0
2024.01.10	22:00:00	0.85147	0.85224	0.85121	0.85128	2989	0	4
2024.01.10	23:00:00	0.85121	0.85126	0.85063	0.85067	1219	0	1
2024.01.11	00:00:00	0.85074	0.85111	0.85035	0.85077	1503	0	14
2024.01.11	01:00:00	0.85082	0.85082	0.85046	0.85052	680	0	3
2024.01.11	02:00:00	0.85052	0.85055	0.85002	0.85004	937	0	9
2024.01.11	03:00:00	0.85003	0.85027	0.84937	0.84941	1556	0	5
2024.01.11	04:00:00	0.84943	0.84989	0.84907	0.84977	1500	0	7
2024.01.11	05:00:00	0.84978	0.84982	0.84940	0.84950	800	0	6
2024.01.11	06:00:00	0.84951	0.84961	0.84929	0.84954	713	0	3
2024.01.11	07:00:00	0.84953	0.85004	0.84938	0.84994	915	0	0
2024.01.11	08:00:00	0.84995	0.85021	0.84905	0.84929	1502	0	0
2024.01.11	09:00:00	0.84932	0.85068	0.84925	0.85031	2310	0	4
2024.01.11	10:00:00	0.85033	0.85091	0.85007	0.85057	3384	0	1
2024.01.11	11:00:00	0.85058	0.85105	0.85001	0.85085	2775	0	4
2024.01.11	12:00:00	0.85084	0.85195	0.85075	0.85158	2433	0	4
2024.01.11	13:00:00	0.85158	0.85160	0.85012	0.85033	2170	0	3
2024.01.11	14:00:00	0.85031	0.85047	0.84959	0.85024	2487	0	2
2024.01.11	15:00:00	0.85023	0.85509	0.84830	0.85479	11935	0	2
2024.01.11	16:00:00	0.85477	0.85644	0.85105	0.85337	10453	0	4
2024.01.11	17:00:00	0.85338	0.85567	0.85268	0.85464	9818	0	4
2024.01.11	18:00:00	0.85463	0.85664	0.85452	0.85561	7223	0	4
2024.01.11	19:00:00	0.85560	0.85606	0.85489	0.85547	4295	0	0
2024.01.11	20:00:00	0.85548	0.85561	0.85475	0.85484	3191	0	4
2024.01.11	21:00:00	0.85483	0.85483	0.85202	0.85229	3358	0	4
2024.01.11	22:00:00	0.85228	0.85409	0.85213	0.85220	4240	0	4
2024.01.11	23:00:00	0.85222	0.85236	0.85170	0.85178	1846	0	2
2024.01.12	00:00:00	0.85155	0.85213	0.85143	0.85185	23656	0	19
2024.01.12	01:00:00	0.85190	0.85210	0.85085	0.85104	2094	0	9
2024.01.12	02:00:00	0.85104	0.85217	0.85103	0.85203	1335	0	8
2024.01.12	03:00:00	0.85204	0.85243	0.85128	0.85150	1488	0	0
2024.01.12	04:00:00	0.85149	0.85218	0.85142	0.85195	1353	0	6
2024.01.12	05:00:00	0.85194	0.85196	0.85145	0.85183	938	0	3
2024.01.12	06:00:00	0.85184	0.85228	0.85184	0.85217	887	0	1
2024.01.12	07:00:00	0.85218	0.85231	0.85163	0.85225	1265	0	2
2024.01.12	08:00:00	0.85224	0.85234	0.85184	0.85196	1032	0	0
2024.01.12	09:00:00	0.85198	0.85359	0.85193	0.85306	3012	0	4
2024.01.12	10:00:00	0.85308	0.85311	0.85171	0.85171	3472	0	4
2024.01.12	11:00:00	0.85173	0.85395	0.85149	0.85373	3340	0	0
2024.01.12	12:00:00	0.85372	0.85402	0.85320	0.85347	2474	0	4
2024.01.12	13:00:00	0.85345	0.85413	0.85294	0.85359	2220	0	4
2024.01.12	14:00:00	0.85360	0.85466	0.85343	0.85464	2722	0	4
2024.01.12	15:00:00	0.85465	0.85507	0.85143	0.85252	6610	0	4
2024.01.12	16:00:00	0.85251	0.85260	0.84921	0.84988	6266	0	4
2024.01.12	17:00:00	0.84989	0.85154	0.84883	0.85095	6543	0	4
2024.01.12	18:00:00	0.85096	0.85236	0.85063	0.85233	3740	0	4
2024.01.12	19:00:00	0.85234	0.85362	0.85224	0.85341	2387	0	4
