<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	140.830	141.457	140.807	141.435	23014	0	5
2024.01.02	04:00:00	141.435	141.668	141.345	141.346	21311	0	3
2024.01.02	08:00:00	141.346	141.672	141.293	141.552	46027	0	3
2024.01.02	12:00:00	141.553	142.216	141.509	142.148	58125	0	3
2024.01.02	16:00:00	142.148	142.174	141.500	141.968	71880	0	3
2024.01.02	20:00:00	141.968	142.012	141.800	141.970	17119	0	0
2024.01.03	00:00:00	141.829	142.180	141.771	142.012	18134	0	10
2024.01.03	04:00:00	142.012	142.131	141.855	142.122	15582	0	5
2024.01.03	08:00:00	142.122	142.713	142.010	142.638	45725	0	3
2024.01.03	12:00:00	142.638	143.086	142.589	143.019	50876	0	3
2024.01.03	16:00:00	143.018	143.729	142.813	143.602	92970	0	3
2024.01.03	20:00:00	143.604	143.731	143.114	143.288	51800	0	3
2024.01.04	00:00:00	143.289	143.446	142.850	143.426	33198	0	10
2024.01.04	04:00:00	143.426	143.896	143.220	143.774	35467	0	6
2024.01.04	08:00:00	143.773	143.895	143.179	143.867	62703	0	3
2024.01.04	12:00:00	143.867	144.555	143.866	144.537	57752	0	3
2024.01.04	16:00:00	144.537	144.852	144.458	144.594	61992	0	3
2024.01.04	20:00:00	144.593	144.706	144.509	144.622	16589	0	3
2024.01.05	00:00:00	144.518	144.900	144.518	144.739	28753	0	6
2024.01.05	04:00:00	144.739	144.952	144.654	144.724	26873	0	6
2024.01.05	08:00:00	144.723	145.370	144.693	145.184	56063	0	3
2024.01.05	12:00:00	145.185	145.979	145.052	145.466	66938	0	3
2024.01.05	16:00:00	145.465	145.484	143.806	144.742	145761	0	3
2024.01.05	20:00:00	144.743	144.890	144.492	144.558	29782	0	2
2024.01.08	00:00:00	144.441	144.918	144.317	144.373	19079	0	4
2024.01.08	04:00:00	144.374	144.561	144.310	144.361	24422	0	1
2024.01.08	08:00:00	144.361	144.613	144.088	144.234	50021	0	3
2024.01.08	12:00:00	144.233	144.683	144.200	144.454	46165	0	3
2024.01.08	16:00:00	144.454	144.469	143.662	143.959	69722	0	3
2024.01.08	20:00:00	143.960	144.267	143.951	144.220	20280	0	2
2024.01.09	00:00:00	144.195	144.278	143.443	143.480	34726	0	10
2024.01.09	04:00:00	143.480	143.881	143.417	143.787	32420	0	10
2024.01.09	08:00:00	143.786	144.318	143.741	143.946	51739	0	3
2024.01.09	12:00:00	143.946	144.191	143.746	143.768	47069	0	3
2024.01.09	16:00:00	143.768	144.482	143.650	144.401	62817	0	2
2024.01.09	20:00:00	144.402	144.620	144.240	144.464	23428	0	0
2024.01.10	00:00:00	144.440	144.821	144.316	144.737	24703	0	7
2024.01.10	04:00:00	144.737	144.932	144.667	144.777	20926	0	4
2024.01.10	08:00:00	144.776	145.156	144.729	144.918	48473	0	3
2024.01.10	12:00:00	144.918	145.332	144.764	145.295	38348	0	1
2024.01.10	16:00:00	145.295	145.828	145.234	145.609	55440	0	2
2024.01.10	20:00:00	145.610	145.830	145.559	145.749	22113	0	2
2024.01.11	00:00:00	145.736	145.808	145.323	145.364	29850	0	10
2024.01.11	04:00:00	145.364	145.586	145.276	145.487	26407	0	5
2024.01.11	08:00:00	145.486	145.577	145.330	145.544	37722	0	3
2024.01.11	12:00:00	145.544	146.267	144.953	146.243	69677	0	3
2024.01.11	16:00:00	146.243	146.417	145.645	145.949	138626	0	3
2024.01.11	20:00:00	145.949	146.015	145.251	145.274	42398	0	3
2024.01.12	00:00:00	145.256	145.403	144.936	145.110	42297	0	2
2024.01.12	04:00:00	145.110	145.256	144.841	145.248	33361	0	10
2024.01.12	08:00:00	145.249	145.285	144.866	145.135	45003	0	3
2024.01.12	12:00:00	145.135	145.568	144.750	144.789	65849	0	3
2024.01.12	16:00:00	144.790	145.005	144.349	144.949	99548	0	3
2024.01.12	20:00:00	144.949	145.017	144.794	144.906	17722	0	1
2024.01.15	00:00:00	144.849	145.231	144.749	145.069	28357	0	10
2024.01.15	04:00:00	145.068	145.286	144.931	145.268	25747	0	10
2024.01.15	08:00:00	145.267	145.763	145.190	145.665	41690	0	3
2024.01.15	12:00:00	145.664	145.915	145.544	145.783	36181	0	3
2024.01.15	16:00:00	145.783	145.942	145.675	145.777	27928	0	3
2024.01.15	20:00:00	145.777	145.807	145.708	145.708	3483	0	0
2024.01.16	00:00:00	145.709	146.111	145.582	145.897	36764	0	4
2024.01.16	04:00:00	145.897	146.270	145.889	146.161	38762	0	10
2024.01.16	08:00:00	146.161	146.634	145.996	146.536	59342	0	3
2024.01.16	12:00:00	146.536	146.790	146.284	146.626	63181	0	1
2024.01.16	16:00:00	146.625	147.268	146.395	147.249	94208	0	1
2024.01.16	20:00:00	147.250	147.311	147.132	147.182	21128	0	2
2024.01.17	00:00:00	147.182	147.483	147.042	147.191	33519	0	10
2024.01.17	04:00:00	147.191	147.668	147.093	147.577	33580	0	10
2024.01.17	08:00:00	147.577	147.970	147.564	147.723	71526	0	3
2024.01.17	12:00:00	147.724	147.984	147.566	147.938	54006	0	3
2024.01.17	16:00:00	147.938	148.528	147.882	148.222	84145	0	3
2024.01.17	20:00:00	148.222	148.388	148.113	148.154	25090	0	0
2024.01.18	00:00:00	148.141	148.249	147.863	148.037	32399	0	10
2024.01.18	04:00:00	148.036	148.156	147.857	147.872	30592	0	10
2024.01.18	08:00:00	147.872	147.959	147.654	147.847	56719	0	1
2024.01.18	12:00:00	147.847	148.302	147.752	148.229	55494	0	3
2024.01.18	16:00:00	148.229	148.260	147.852	148.218	71131	0	3
2024.01.18	20:00:00	148.218	148.274	148.068	148.154	25920	0	5
2024.01.19	00:00:00	148.154	148.390	147.932	148.350	33008	0	10
2024.01.19	04:00:00	148.350	148.670	148.141	148.646	34759	0	10
2024.01.19	08:00:00	148.647	148.804	147.922	147.980	63133	0	3
2024.01.19	12:00:00	147.981	148.216	147.835	148.136	42421	0	3
2024.01.19	16:00:00	148.135	148.535	148.019	148.118	72871	0	3
2024.01.19	20:00:00	148.118	148.306	148.074	148.112	20639	0	7
2024.01.22	00:00:00	148.212	148.261	147.775	147.857	34456	0	10
2024.01.22	04:00:00	147.856	148.119	147.731	148.050	31674	0	10
2024.01.22	08:00:00	148.049	148.304	147.915	148.112	52695	0	3
2024.01.22	12:00:00	148.112	148.144	147.616	147.687	46228	0	3
2024.01.22	16:00:00	147.687	148.033	147.687	147.980	48561	0	3
2024.01.22	20:00:00	147.981	148.142	147.979	148.092	16556	0	5
2024.01.23	00:00:00	148.093	148.221	147.863	148.100	22363	0	10
2024.01.23	04:00:00	148.100	148.549	147.846	147.916	65322	0	10
2024.01.23	08:00:00	147.915	148.171	146.977	147.710	111079	0	3
2024.01.23	12:00:00	147.711	148.155	147.711	148.052	55999	0	3
2024.01.23	16:00:00	148.052	148.693	148.050	148.591	61493	0	3
2024.01.23	20:00:00	148.592	148.617	148.290	148.321	18366	0	6
2024.01.24	00:00:00	148.319	148.396	147.973	148.017	30873	0	10
2024.01.24	04:00:00	148.016	148.250	147.746	147.873	35844	0	10
2024.01.24	08:00:00	147.872	147.957	147.376	147.531	58582	0	3
2024.01.24	12:00:00	147.531	147.629	146.720	146.768	57211	0	2
2024.01.24	16:00:00	146.768	147.432	146.646	147.187	95881	0	3
2024.01.24	20:00:00	147.187	147.628	147.156	147.497	26831	0	6
2024.01.25	00:00:00	147.489	147.851	147.362	147.660	32911	0	10
2024.01.25	04:00:00	147.659	147.857	147.564	147.797	26550	0	10
2024.01.25	08:00:00	147.797	147.878	147.534	147.640	42644	0	3
2024.01.25	12:00:00	147.640	147.949	147.282	147.376	64723	0	3
2024.01.25	16:00:00	147.376	147.898	147.083	147.825	97471	0	3
2024.01.25	20:00:00	147.825	147.875	147.643	147.652	23775	0	8
2024.01.26	00:00:00	147.634	147.848	147.476	147.545	33735	0	10
2024.01.26	04:00:00	147.546	147.821	147.503	147.728	25155	0	10
2024.01.26	08:00:00	147.728	148.089	147.728	147.835	51249	0	3
2024.01.26	12:00:00	147.834	147.916	147.422	147.651	58496	0	3
2024.01.26	16:00:00	147.651	148.166	147.635	147.988	64328	0	3
2024.01.26	20:00:00	147.989	148.204	147.957	148.150	15680	0	10
2024.01.29	00:00:00	148.063	148.332	148.021	148.127	27147	0	10
2024.01.29	04:00:00	148.127	148.248	147.988	148.026	18491	0	10
2024.01.29	08:00:00	148.026	148.069	147.709	147.743	44951	0	3
2024.01.29	12:00:00	147.743	148.093	147.731	147.973	32670	0	3
2024.01.29	16:00:00	147.973	148.051	147.581	147.655	41993	0	3
2024.01.29	20:00:00	147.655	147.710	147.246	147.487	25590	0	6
2024.01.30	00:00:00	147.496	147.520	147.187	147.310	25399	0	10
2024.01.30	04:00:00	147.310	147.483	147.296	147.381	21001	0	10
2024.01.30	08:00:00	147.381	147.551	147.158	147.390	47253	0	3
2024.01.30	12:00:00	147.389	147.579	147.206	147.520	38545	0	2
2024.01.30	16:00:00	147.519	147.928	147.086	147.803	74615	0	3
2024.01.30	20:00:00	147.803	147.865	147.558	147.594	16155	0	7
2024.01.31	00:00:00	147.592	147.616	147.182	147.544	35242	0	9
2024.01.31	04:00:00	147.543	147.814	147.543	147.715	29180	0	10
2024.01.31	08:00:00	147.715	147.901	147.403	147.766	56058	0	3
2024.01.31	12:00:00	147.767	147.884	147.458	147.501	62412	0	3
2024.01.31	16:00:00	147.501	147.563	146.067	146.354	135675	0	3
2024.01.31	20:00:00	146.354	147.447	146.005	146.894	122033	0	0
2024.02.01	00:00:00	146.890	147.079	146.608	146.773	41934	0	10
2024.02.01	04:00:00	146.773	146.883	146.471	146.860	32878	0	10
2024.02.01	08:00:00	146.860	147.052	146.590	146.794	63725	0	3
2024.02.01	12:00:00	146.794	147.114	146.456	146.661	65274	0	0
2024.02.01	16:00:00	146.661	146.826	145.895	146.351	118060	0	3
2024.02.01	20:00:00	146.352	146.478	146.190	146.412	33491	0	5
2024.02.02	00:00:00	146.421	146.513	146.198	146.354	25351	0	10
2024.02.02	04:00:00	146.354	146.514	146.302	146.428	19451	0	0
2024.02.02	08:00:00	146.428	146.800	146.349	146.694	43195	0	3
2024.02.02	12:00:00	146.694	147.990	146.462	147.964	67653	0	3
2024.02.02	16:00:00	147.965	148.586	147.683	148.523	103115	0	0
2024.02.02	20:00:00	148.523	148.564	148.218	148.341	26125	0	10
2024.02.05	00:00:00	148.408	148.821	148.273	148.371	38026	0	10
2024.02.05	04:00:00	148.371	148.550	148.312	148.331	28499	0	10
2024.02.05	08:00:00	148.330	148.608	148.264	148.503	46475	0	3
2024.02.05	12:00:00	148.503	148.681	148.306	148.568	38419	0	3
2024.02.05	16:00:00	148.568	148.895	148.394	148.616	64103	0	3
2024.02.05	20:00:00	148.616	148.762	148.499	148.669	17082	0	7
2024.02.06	00:00:00	148.669	148.769	148.461	148.519	17044	0	10
2024.02.06	04:00:00	148.519	148.670	148.373	148.435	23462	0	10
2024.02.06	08:00:00	148.435	148.706	148.355	148.682	38758	0	3
2024.02.06	12:00:00	148.682	148.788	148.461	148.619	25421	0	3
2024.02.06	16:00:00	148.619	148.624	147.842	147.916	31766	0	3
2024.02.06	20:00:00	147.916	148.035	147.815	147.933	14510	0	5
2024.02.07	00:00:00	147.935	147.943	147.709	147.800	11790	0	10
2024.02.07	04:00:00	147.801	147.994	147.799	147.947	11208	0	10
2024.02.07	08:00:00	147.948	148.096	147.747	147.918	21726	0	3
2024.02.07	12:00:00	147.918	148.258	147.903	148.181	22012	0	3
2024.02.07	16:00:00	148.181	148.226	147.617	148.132	33426	0	3
2024.02.07	20:00:00	148.132	148.193	147.986	148.177	11994	0	7
2024.02.08	00:00:00	148.173	148.363	147.928	148.288	12530	0	10
2024.02.08	04:00:00	148.288	148.661	148.260	148.579	15491	0	10
2024.02.08	08:00:00	148.578	148.849	148.573	148.757	22126	0	3
2024.02.08	12:00:00	148.757	149.464	148.740	149.390	28475	0	3
2024.02.08	16:00:00	149.391	149.479	149.191	149.369	27015	0	3
2024.02.08	20:00:00	149.370	149.407	149.118	149.308	13754	0	5
2024.02.09	00:00:00	149.309	149.406	149.214	149.279	10533	0	10
2024.02.09	04:00:00	149.281	149.488	149.243	149.395	9995	0	10
2024.02.09	08:00:00	149.395	149.576	149.214	149.423	21206	0	3
2024.02.09	12:00:00	149.423	149.535	149.008	149.386	26300	0	3
